"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","NUTS 3 Region","UNIT","VALUE"
"G0421C01","Population per Region","2022","2022","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Number","419473"
"G0421C01","Population per Region","2022","2022","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Number","485966"
"G0421C01","Population per Region","2022","2022","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Number","505369"
"G0421C01","Population per Region","2022","2022","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Number","457410"
"G0421C01","Population per Region","2022","2022","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Number","740614"
"G0421C01","Population per Region","2022","2022","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Number","1458154"
"G0421C01","Population per Region","2022","2022","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Number","764154"
"G0421C01","Population per Region","2022","2022","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Number","317999"
"G0421C01","Population per Region","2022","2022","IE0","Ireland","Number","5149139"
"G0421C02","Population per  Region","2022","2022","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","%","8.1"
"G0421C02","Population per  Region","2022","2022","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","%","9.4"
"G0421C02","Population per  Region","2022","2022","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","%","9.8"
"G0421C02","Population per  Region","2022","2022","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","%","8.9"
"G0421C02","Population per  Region","2022","2022","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","%","14.4"
"G0421C02","Population per  Region","2022","2022","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","%","28.3"
"G0421C02","Population per  Region","2022","2022","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","%","14.9"
"G0421C02","Population per  Region","2022","2022","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","%","6.2"
"G0421C02","Population per  Region","2022","2022","IE0","Ireland","%","100"
