OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
1,47033,BALLYMODAN, ,CORK,Corcaigh,Munster,547718.261772674,553339.455581436,2AE196291F5013A3E055000000000001,18013,47033,Ballymodan,28559785.5215149,29579.7778138857
2,97055,KILBEACON,Cill Bhéacáin,KILKENNY,Cill Chainnigh,Leinster,657681.211216703,627000.862373916,2AE19629240313A3E055000000000001,07103,97055,Kilbeacon,13230075.3596497,15936.240574306
3,128014,DOCK A,An Duga A,LIMERICK,Luimneach,Munster,557059.535581243,656662.074900637,2AE1962917E613A3E055000000000001,20014,128014,Dock A,143542.126617432,1537.81125651205
4,47208,KILMALODA WEST, ,CORK,Corcaigh,Munster,542522.122127034,547639.394685899,2AE1962921D313A3E055000000000001,18066,47208,Kilmaloda West,11710429.5638428,20133.1758811573
5,217114,KILVEMNON,Cill Mheanmnáin,TIPPERARY,Tiobraid Árann,Munster,635998.202174985,637668.902395454,2AE196291C1F13A3E055000000000001,23148,217114,Kilvemnon,18286150.844635,25682.9741084132
6,217054,CLONEEN,An Cluainín,TIPPERARY,Tiobraid Árann,Munster,627287.438345715,634931.136851235,2AE196291C7613A3E055000000000001,23098,217054,Cloneen,26996501.1207581,36237.5207440645
7,47075,CARRIGNAVAR, ,CORK,Corcaigh,Munster,565001.923986977,585670.026117121,2AE196291F5A13A3E055000000000001,18083,47075,Carrignavar,33167512.1495361,28906.8698261381
8,127136,UREGARE,An Úir Ghearr,LIMERICK,Luimneach,Munster,565487.787520739,633047.539323382,2AE1962917CB13A3E055000000000001,21048,127136,Uregare,23525154.184021,24700.892895047
9,237055,HOPESTOWN, ,WESTMEATH,An Iarmhí,Leinster,639655.762831095,750239.619576118,2AE196291BDD13A3E055000000000001,13076,237055,Hopestown,14974261.8610229,18388.0737207001
10,47105,CLOYNE, ,CORK,Corcaigh,Munster,590876.794745609,568969.015454595,2AE196291F3E13A3E055000000000001,18252,47105,Cloyne,30788007.8849487,30459.2866028276
11,107097,TURRA, ,LAOIS,Laois,Leinster,662955.153546412,679905.809712322,2AE19629170613A3E055000000000001,08098,107097,Turra,15802655.4290161,16787.1052389123
12,67002,ABBEY WEST, ,GALWAY,Gaillimh,Connacht,549586.47836074,742452.458777318,2AE19629210013A3E055000000000001,27179,67002,Abbey West,15955598.9123535,21362.9954946739
13,47201,KILLATHY, ,CORK,Corcaigh,Munster,575134.416853342,598794.581912866,2AE19629219D13A3E055000000000001,18139,47201,Killathy,22431814.4404297,25450.2540090413
14,217043,CARRIG,An Charraig,TIPPERARY,Tiobraid Árann,Munster,603021.064209654,701956.655917159,2AE196291C4713A3E055000000000001,22009,217043,Carrig,12343055.9504089,14762.0391090532
